"Fecha","Ultimo","Apertura","Maximo","Minimo","Vol.","% var."
"01.07.2024","5.463,54","5.473,88","5.669,95","5.391,73","","0,06%"
"01.06.2024","5.460,48","5.297,15","5.523,64","5.234,32","","3,47%"
"01.05.2024","5.277,51","5.029,03","5.341,88","5.011,05","","4,80%"
"01.04.2024","5.035,69","5.257,97","5.263,95","4.953,56","","-4,16%"
"01.03.2024","5.254,35","5.098,51","5.264,85","5.056,82","","3,10%"
"01.02.2024","5.096,27","4.861,11","5.111,06","4.853,52","","5,17%"
"01.01.2024","4.845,65","4.745,20","4.931,09","4.682,11","","1,59%"
"01.12.2023","4.769,83","4.559,43","4.793,30","4.546,50","","4,42%"
"01.11.2023","4.567,80","4.201,27","4.587,64","4.197,74","","8,92%"
"01.10.2023","4.193,80","4.284,52","4.393,57","4.103,78","","-2,20%"
"01.09.2023","4.288,05","4.530,60","4.541,25","4.238,63","","-4,87%"
"01.08.2023","4.507,66","4.578,83","4.584,62","4.335,31","","-1,77%"
"01.07.2023","4.588,96","4.450,48","4.607,07","4.385,05","","3,11%"
"01.06.2023","4.450,38","4.183,03","4.458,48","4.171,64","","6,47%"
"01.05.2023","4.179,83","4.166,79","4.231,10","4.048,28","","0,25%"
"01.04.2023","4.169,48","4.102,20","4.170,06","4.049,35","","1,46%"
"01.03.2023","4.109,31","3.963,34","4.110,75","3.808,86","","3,51%"
"01.02.2023","3.970,15","4.070,07","4.195,44","3.943,08","","-2,61%"
"01.01.2023","4.076,60","3.853,29","4.094,21","3.794,33","","6,18%"
"01.12.2022","3.839,50","4.087,14","4.100,96","3.764,49","","-5,90%"
"01.11.2022","4.080,11","3.901,79","4.080,11","3.698,15","","5,38%"
"01.10.2022","3.871,98","3.609,78","3.905,42","3.491,58","","7,99%"
"01.09.2022","3.585,62","3.936,73","4.119,28","3.584,13","","-9,34%"
"01.08.2022","3.955,00","4.112,38","4.325,28","3.954,53","","-4,24%"
"01.07.2022","4.130,29","3.781,00","4.140,15","3.721,56","","9,11%"
